,Output Freq,Input Freq,Uplink Tone,Downlink Tone,Lat,Long,Call,,,IRLP
,443.50000,448.50000,,,32.83869934,-86.62940216,KF4LQK,1,1,
,443.50000,448.50000,110.9,110.9,34.74509811,-86.51170349,W4HSV,1,1,
,443.55000,448.55000,,,33.82180023,-86.91649628,N4UKE,1,,
,443.57500,448.57500,123.0,123.0,32.46660000,-85.05601000,WX4RUS,1,1,
,443.57500,448.57500,192.8,192.8,33.20980072,-87.56919861,KX4I,,1,
,443.62500,448.62500,127.3,127.3,34.74509811,-86.51170349,W4XE,1,1,
,443.62500,448.62500,131.8,,33.91609955,-85.50389862,KJ4MTX,1,1,
,443.65000,448.65000,131.8,,33.77510071,-86.47160339,KA5GET,1,1,
,443.67500,448.67500,,,33.56520081,-86.69950104,W4RKZ,1,,
,443.67500,448.67500,203.5,,33.48569870,-85.80909729,KF4RGR,1,1,
,443.70000,448.70000,131.8,,33.52069855,-86.80249786,KK4BSK,1,1,
,443.72500,448.70000,203.5,,34.20259857,-86.29579926,AG4LU,1,1,
,443.72500,448.72500,131.8,CSQ,34.73120117,-87.70249939,W4ZZK,1,1,
,443.72500,448.72500,100.0,,32.54370117,-86.21189880,KG4RCK,1,1,
,443.75000,448.75000,186.2,186.2,34.73040009,-86.58609772,W4LDX,1,1,
,443.77500,448.77500,91.5,91.5,33.95980072,-86.63939667,W4BLT,1,,
,443.80000,448.80000,,156.7,33.28170013,-86.94339752,KC4SIG,1,,
,443.80000,448.80000,110.9,110.9,34.73040009,-86.58609772,W4PS,1,1,
,443.82500,448.82500,118.8,,33.20980072,-87.56919861,W4XI,1,,
,443.85000,448.85000,CSQ,CSQ,34.48979950,-86.62640381,W4ATD,1,1,
,443.87500,448.87500,123.0,123.0,33.95980072,-86.63939667,N3AST,1,1,
,443.90000,448.90000,,,33.52069855,-86.80249786,W4CUE,1,1,
,443.92500,448.92500,,,33.83119965,-87.27749634,N4MYI,1,,
,443.97500,448.97500,,,33.52069855,-86.80249786,KI4SBB,1,,
,444.00000,449.00000,100.0,100.0,34.47000122,-87.40000153,KF4GZI,1,1,
,444.00000,449.00000,,,33.31069946,-85.75440216,WB4VBA,1,1,
